locale,thursday,sunday,cws,totaloffering,thlocale,thdistrict,lingap,thanksgiving,reflocale,refdistrict,refcentral,offrefund,alms,explocale,expdistrict,expcentral,exptotal,remainder,uswo,cfototal,cfolocale,cfointl,rdistrict,rlingap,rcentral,rtotal,lcode,did,wkno
Apra Heights, 418.00 , 436.00 , 18.00 , 872.00 ,,," 2,234.00 "," 1,854.00 ",,,," 4,960.00 ",,,, 150.00 , 150.00 ," 4,810.00 ",, -   , -   , -   , -   ," 2,234.00 "," 2,576.00 "," 4,810.00 ",9,4,12-2023
Ebeye, 36.00 , 36.00 ,, 72.00 ,,, 236.00 , 262.00 ,,,, 570.00 ,,,,, -   , 570.00 ,, -   , -   , -   , -   , 236.00 , 334.00 , 570.00 ,38,4,12-2023
Garapan, 593.00 , -   , 65.00 , 658.00 ,,," 3,720.00 "," 2,714.00 ",,,," 7,092.00 ",,,, 170.00 , 170.00 ," 6,922.00 ",, -   , -   , -   , -   ," 3,720.00 "," 3,202.00 "," 6,922.00 ",53,4,12-2023
Guam," 2,471.00 "," 2,778.00 ", 129.00 ," 5,378.00 ",,," 14,924.00 "," 9,019.00 ",,,," 29,321.00 ",," 1,221.15 ",, 345.80 ," 1,566.95 "," 27,754.05 ",, -   , -   , -   , -   ," 14,924.00 "," 14,051.20 "," 28,975.20 ",62,4,12-2023
Koblerville, 382.00 , 407.00 , 35.00 , 824.00 ,,," 2,515.00 "," 1,556.00 ",,,," 4,895.00 ",,,, 53.00 , 53.00 ," 4,842.00 ",, -   , -   , -   , -   ," 2,515.00 "," 2,327.00 "," 4,842.00 ",81,4,12-2023
Koror, 103.00 , 102.00 ,, 205.00 ,,, 663.00 , 416.00 ,,,," 1,284.00 ",,,,, -   ," 1,284.00 ",, -   , -   , -   , -   , 663.00 , 621.00 ," 1,284.00 ",83,4,12-2023
Machanao, 590.00 , 604.00 , 65.00 ," 1,259.00 ",,," 2,870.00 "," 2,362.00 ",,,," 6,491.00 ",,,, 120.00 , 120.00 ," 6,371.00 ",, -   , -   , -   , -   ," 2,870.00 "," 3,501.00 "," 6,371.00 ",99,4,12-2023
Majuro, 179.00 , 173.00 , 33.00 , 385.00 ,,, 888.00 , 590.00 ,,,," 1,863.00 ",,,,, -   ," 1,863.00 ",, -   , -   , -   , -   , 888.00 , 975.00 ," 1,863.00 ",101,4,12-2023
Mangilao, 763.00 , 756.00 , 118.00 ," 1,637.00 ",,," 5,089.00 "," 3,585.00 ",,,," 10,311.00 ",," 2,951.88 ",, 105.00 ," 3,056.88 "," 7,254.12 ", 105.00 , -   , -   , -   , -   ," 5,089.00 "," 5,117.00 "," 10,311.00 ",102,4,12-2023
Pohnpei,,,, -   ,,,,,,,, -   ,,,,, -   , -   ,, -   , -   , -   , -   , -   , -   , -   ,131,4,12-2023
Rota,,,, -   ,,,,,,,, -   ,,,,, -   , -   ,, -   , -   , -   , -   , -   , -   , -   ,145,4,12-2023
Saipan, 896.00 , 841.00 , 60.00 ," 1,797.00 ",,," 5,751.00 "," 4,235.00 ",,,," 11,783.00 ",,,, 22.00 , 22.00 ," 11,761.00 ",, -   , -   , -   , -   ," 5,751.00 "," 6,010.00 "," 11,761.00 ",147,4,12-2023
Tinian, 96.00 , 118.00 , 24.00 , 238.00 ,,, 707.00 , 468.00 ,,,," 1,413.00 ",,,,, -   ," 1,413.00 ",, -   , -   , -   , -   , 707.00 , 706.00 ," 1,413.00 ",174,4,12-2023
Yap,,,, -   ,,,,,,,, -   ,,,,, -   , -   ,, -   , -   , -   , -   , -   , -   , -   ,203,4,12-2023
Yigo, 885.00 , 812.00 , 66.00 ," 1,763.00 ",,," 6,076.00 "," 4,819.00 ",,,," 12,658.00 ",,,,, -   ," 12,658.00 ",, -   , -   , -   , -   ," 6,076.00 "," 6,582.00 "," 12,658.00 ",193,4,12-2023
Apra Heights (wk10), 293.00 , 344.00 , 29.00 , 666.00 ,1922,,258,1543,,,," 4,389.00 ",,,, 150.00 , 150.00 ," 4,239.00 "," 1,633.70 ", 288.30 , 192.20 , 96.10 , -   , 258.00 ," 2,059.00 "," 4,239.00 ",9,4,10-2023
Apra Heights (wk11), 330.00 , 392.00 , 18.00 , 740.00 ,,615,278,1841,,,," 3,474.00 ",,,, 165.00 , 165.00 ," 3,309.00 ",, -   , -   , -   , -   , 278.00 ," 2,416.00 "," 2,694.00 ",9,4,11-2023
Koror (wk11), 108.00 , 96.00 ,, 204.00 ,,182,51,439,,,, 876.00 ,,,,, -   , 876.00 ,, -   , -   , -   , -   , 51.00 , 643.00 , 694.00 ,83,4,11-2023
Rota (Wk09), 45.00 , 28.00 ,, 73.00 ,89,,28,110,,,, 300.00 ,,,,, -   , 300.00 ,, 13.35 , 8.90 , 4.45 , -   , 28.00 , 183.00 , 224.35 ,145,4,09-2023
Rota (Wk10), 35.00 , 40.00 ,, 75.00 , 94.00 ,, 29.00 , 185.00 ,,,, 383.00 ,,,,, -   , 383.00 ,, 14.10 , 9.40 , 4.70 , -   , 29.00 , 260.00 , 303.10 ,145,4,10-2023
,,,, -   ,,,,,,,, -   ,,,,, -   , -   ,, -   , -   , -   , -   , -   , -   , -   ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
